journal_title,journal_path,journal_url
A,#journals-A,https://www.nature.com#journals-A
Acta Pharmacologica Sinica,/aps/,https://www.nature.com/aps/
B,#journals-B,https://www.nature.com#journals-B
BDJ In Practice,/bdjinpractice/,https://www.nature.com/bdjinpractice/
BDJ Open,/bdjopen/,https://www.nature.com/bdjopen/
BDJ Student,/bdjstudent/,https://www.nature.com/bdjstudent/
BDJ Team,/bdjteam/,https://www.nature.com/bdjteam/
Biopharma Dealmakers,/biopharmdeal/,https://www.nature.com/biopharmdeal/
BJC Reports,/bjcreports/,https://www.nature.com/bjcreports/
Blood Cancer Journal,/bcj/,https://www.nature.com/bcj/
Bone Marrow Transplantation,/bmt/,https://www.nature.com/bmt/
Bone Research,/boneres/,https://www.nature.com/boneres/
British Dental Journal,/bdj/,https://www.nature.com/bdj/
British Journal of Cancer,/bjc/,https://www.nature.com/bjc/
C,#journals-C,https://www.nature.com#journals-C
Cancer Gene Therapy,/cgt/,https://www.nature.com/cgt/
Cell Death & Differentiation,/cdd/,https://www.nature.com/cdd/
Cell Death & Disease,/cddis/,https://www.nature.com/cddis/
Cell Death Discovery,/cddiscovery/,https://www.nature.com/cddiscovery/
Cell Discovery,/celldisc/,https://www.nature.com/celldisc/
Cell Research,/cr/,https://www.nature.com/cr/
Cellular & Molecular Immunology,/cmi/,https://www.nature.com/cmi/
Communications AI & Computing,/commsaicomp/,https://www.nature.com/commsaicomp/
Communications Biology,/commsbio/,https://www.nature.com/commsbio/
Communications Chemistry,/commschem/,https://www.nature.com/commschem/
Communications Earth & Environment,/commsenv/,https://www.nature.com/commsenv/
Communications Engineering,/commseng/,https://www.nature.com/commseng/
Communications Health,/commshealth/,https://www.nature.com/commshealth/
Communications Materials,/commsmat/,https://www.nature.com/commsmat/
Communications Medicine,/commsmed/,https://www.nature.com/commsmed/
Communications Physics,/commsphys/,https://www.nature.com/commsphys/
Communications Psychology,/commspsychol/,https://www.nature.com/commspsychol/
Communications Sustainability,/commssustain/,https://www.nature.com/commssustain/
E,#journals-E,https://www.nature.com#journals-E
European Journal of Clinical Nutrition,/ejcn/,https://www.nature.com/ejcn/
European Journal of Human Genetics,/ejhg/,https://www.nature.com/ejhg/
Evidence-Based Dentistry,/ebd/,https://www.nature.com/ebd/
Experimental & Molecular Medicine,/emm/,https://www.nature.com/emm/
Eye,/eye/,https://www.nature.com/eye/
Eye Open,/eyeopen/,https://www.nature.com/eyeopen/
G,#journals-G,https://www.nature.com#journals-G
Gene Therapy,/gt/,https://www.nature.com/gt/
Genes & Immunity,/gene/,https://www.nature.com/gene/
H,#journals-H,https://www.nature.com#journals-H
Heredity,/hdy/,https://www.nature.com/hdy/
Human Genome Variation,/hgv/,https://www.nature.com/hgv/
Humanities and Social Sciences Communications,/palcomms/,https://www.nature.com/palcomms/
Hypertension Research,/hr/,https://www.nature.com/hr/
I,#journals-I,https://www.nature.com#journals-I
International Journal of Impotence Research,/ijir/,https://www.nature.com/ijir/
International Journal of Obesity,/ijo/,https://www.nature.com/ijo/
International Journal of Obesity Supplements,/ijosup/,https://www.nature.com/ijosup/
International Journal of Oral Science,/ijos/,https://www.nature.com/ijos/
ISME Communications,/ismecomms/,https://www.nature.com/ismecomms/
J,#journals-J,https://www.nature.com#journals-J
Journal of Exposure Science & Environmental Epidemiology,/jes/,https://www.nature.com/jes/
Journal of Human Genetics,/jhg/,https://www.nature.com/jhg/
Journal of Human Hypertension,/jhh/,https://www.nature.com/jhh/
Journal of Perinatology,/jp/,https://www.nature.com/jp/
L,#journals-L,https://www.nature.com#journals-L
Lab Animal,/laban/,https://www.nature.com/laban/
Leukemia,/leu/,https://www.nature.com/leu/
Leukemia Supplements,/leusup/,https://www.nature.com/leusup/
Light: Science & Applications,/lsa/,https://www.nature.com/lsa/
M,#journals-M,https://www.nature.com#journals-M
Microsystems & Nanoengineering,/micronano/,https://www.nature.com/micronano/
Molecular Psychiatry,/mp/,https://www.nature.com/mp/
Mucosal Immunology,/mi/,https://www.nature.com/mi/
N,#journals-N,https://www.nature.com#journals-N
Nature,https://www.nature.com/nature/,https://www.nature.comhttps://www.nature.com/nature/
Nature,/nature/,https://www.nature.com/nature/
Nature Africa,/natafrica/,https://www.nature.com/natafrica/
Nature Aging,/nataging/,https://www.nature.com/nataging/
Nature Astronomy,/natastron/,https://www.nature.com/natastron/
Nature Biomedical Engineering,/natbiomedeng/,https://www.nature.com/natbiomedeng/
Nature Biotechnology,/nbt/,https://www.nature.com/nbt/
Nature Cancer,/natcancer/,https://www.nature.com/natcancer/
Nature Cardiovascular Research,/natcardiovascres/,https://www.nature.com/natcardiovascres/
Nature Catalysis,/natcatal/,https://www.nature.com/natcatal/
Nature Cell Biology,/ncb/,https://www.nature.com/ncb/
Nature Chemical Biology,/nchembio/,https://www.nature.com/nchembio/
Nature Chemical Engineering,/natchemeng/,https://www.nature.com/natchemeng/
Nature Chemistry,/nchem/,https://www.nature.com/nchem/
Nature Chemistry,https://www.nature.com/nchem/,https://www.nature.comhttps://www.nature.com/nchem/
Nature Cities,/natcities/,https://www.nature.com/natcities/
Nature Climate Change,/nclimate/,https://www.nature.com/nclimate/
Nature Communications,/ncomms/,https://www.nature.com/ncomms/
Nature Communications,https://www.nature.com/ncomms/,https://www.nature.comhttps://www.nature.com/ncomms/
Nature Computational Science,/natcomputsci/,https://www.nature.com/natcomputsci/
Nature Digest,/ndigest/,https://www.nature.com/ndigest/
Nature Ecology & Evolution,/natecolevol/,https://www.nature.com/natecolevol/
Nature Electronics,/natelectron/,https://www.nature.com/natelectron/
Nature Energy,/nenergy/,https://www.nature.com/nenergy/
Nature Food,/natfood/,https://www.nature.com/natfood/
Nature Genetics,/ng/,https://www.nature.com/ng/
Nature Geoscience,/ngeo/,https://www.nature.com/ngeo/
Nature Health,/naturehealth/,https://www.nature.com/naturehealth/
Nature Human Behaviour,/nathumbehav/,https://www.nature.com/nathumbehav/
Nature Immunology,/ni/,https://www.nature.com/ni/
Nature India,/natindia/,https://www.nature.com/natindia/
Nature Italy,/natitaly/,https://www.nature.com/natitaly/
Nature Machine Intelligence,/natmachintell/,https://www.nature.com/natmachintell/
Nature Materials,/nmat/,https://www.nature.com/nmat/
Nature Materials,https://www.nature.com/nmat/,https://www.nature.comhttps://www.nature.com/nmat/
Nature Medicine,/nm/,https://www.nature.com/nm/
Nature Mental Health,/natmentalhealth/,https://www.nature.com/natmentalhealth/
Nature Metabolism,/natmetab/,https://www.nature.com/natmetab/
Nature Methods,/nmeth/,https://www.nature.com/nmeth/
Nature Microbiology,/nmicrobiol/,https://www.nature.com/nmicrobiol/
Nature Nanotechnology,/nnano/,https://www.nature.com/nnano/
Nature Neuroscience,/neuro/,https://www.nature.com/neuro/
Nature Photonics,/nphoton/,https://www.nature.com/nphoton/
Nature Physics,/nphys/,https://www.nature.com/nphys/
Nature Plants,/nplants/,https://www.nature.com/nplants/
Nature Protocols,/nprot/,https://www.nature.com/nprot/
Nature Reviews Biodiversity,/nrbd/,https://www.nature.com/nrbd/
Nature Reviews Bioengineering,/natrevbioeng/,https://www.nature.com/natrevbioeng/
Nature Reviews Cancer,/nrc/,https://www.nature.com/nrc/
Nature Reviews Cardiology,/nrcardio/,https://www.nature.com/nrcardio/
Nature Reviews Chemistry,/natrevchem/,https://www.nature.com/natrevchem/
Nature Reviews Clean Technology,/nrct/,https://www.nature.com/nrct/
Nature Reviews Clinical Oncology,/nrclinonc/,https://www.nature.com/nrclinonc/
Nature Reviews Disease Primers,/nrdp/,https://www.nature.com/nrdp/
Nature Reviews Drug Discovery,/nrd/,https://www.nature.com/nrd/
Nature Reviews Earth & Environment,/natrevearthenviron/,https://www.nature.com/natrevearthenviron/
Nature Reviews Electrical Engineering,/natrevelectreng/,https://www.nature.com/natrevelectreng/
Nature Reviews Endocrinology,/nrendo/,https://www.nature.com/nrendo/
Nature Reviews Gastroenterology & Hepatology,/nrgastro/,https://www.nature.com/nrgastro/
Nature Reviews Genetics,/nrg/,https://www.nature.com/nrg/
Nature Reviews Immunology,/nri/,https://www.nature.com/nri/
Nature Reviews Materials,/natrevmats/,https://www.nature.com/natrevmats/
Nature Reviews Methods Primers,/nrmp/,https://www.nature.com/nrmp/
Nature Reviews Microbiology,/nrmicro/,https://www.nature.com/nrmicro/
Nature Reviews Molecular Cell Biology,/nrm/,https://www.nature.com/nrm/
Nature Reviews Nephrology,/nrneph/,https://www.nature.com/nrneph/
Nature Reviews Neurology,/nrneurol/,https://www.nature.com/nrneurol/
Nature Reviews Neuroscience,/nrn/,https://www.nature.com/nrn/
Nature Reviews Physics,/natrevphys/,https://www.nature.com/natrevphys/
Nature Reviews Psychology,/nrpsychol/,https://www.nature.com/nrpsychol/
Nature Reviews Rheumatology,/nrrheum/,https://www.nature.com/nrrheum/
Nature Reviews Urology,/nrurol/,https://www.nature.com/nrurol/
Nature Sensors,/natsensors/,https://www.nature.com/natsensors/
Nature Structural & Molecular Biology,/nsmb/,https://www.nature.com/nsmb/
Nature Sustainability,/natsustain/,https://www.nature.com/natsustain/
Nature Synthesis,/natsynth/,https://www.nature.com/natsynth/
Nature Water,/natwater/,https://www.nature.com/natwater/
Neuropsychopharmacology,/npp/,https://www.nature.com/npp/
NPG Asia Materials,/am/,https://www.nature.com/am/
npj 2D Materials and Applications,/npj2dmaterials/,https://www.nature.com/npj2dmaterials/
npj Acoustics,/npjacoustics/,https://www.nature.com/npjacoustics/
npj Advanced Manufacturing,/npjadvmanuf/,https://www.nature.com/npjadvmanuf/
npj Aging,/npjamd/,https://www.nature.com/npjamd/
npj Antimicrobials and Resistance,/npjamar/,https://www.nature.com/npjamar/
npj Artificial Intelligence,/npjai/,https://www.nature.com/npjai/
npj Autoimmunity,/npjautoimmun/,https://www.nature.com/npjautoimmun/
npj Biodiversity,/npjbiodivers/,https://www.nature.com/npjbiodivers/
npj Biofilms and Microbiomes,/npjbiofilms/,https://www.nature.com/npjbiofilms/
npj Biological Physics and Mechanics,/npjbiolphysmech/,https://www.nature.com/npjbiolphysmech/
npj Biological Timing and Sleep,/npjbts/,https://www.nature.com/npjbts/
npj Biomedical Innovations,/npjbiomedinnov/,https://www.nature.com/npjbiomedinnov/
npj Biosensing,/npjbiosensing/,https://www.nature.com/npjbiosensing/
npj Breast Cancer,/npjbcancer/,https://www.nature.com/npjbcancer/
npj Cardiovascular Health,/npjcardiohealth/,https://www.nature.com/npjcardiohealth/
npj Clean Air,/npjcleanair/,https://www.nature.com/npjcleanair/
npj Clean Energy,/npjcleanenergy/,https://www.nature.com/npjcleanenergy/
npj Clean Water,/npjcleanwater/,https://www.nature.com/npjcleanwater/
npj Climate Action,/npjclimataction/,https://www.nature.com/npjclimataction/
npj Climate and Atmospheric Science,/npjclimatsci/,https://www.nature.com/npjclimatsci/
npj Complexity,/npjcomplex/,https://www.nature.com/npjcomplex/
npj Computational Materials,/npjcompumats/,https://www.nature.com/npjcompumats/
npj Dementia,/npjdementia/,https://www.nature.com/npjdementia/
npj Digital Medicine,/npjdigitalmed/,https://www.nature.com/npjdigitalmed/
npj Digital Public Health,/npjdigipubhealth/,https://www.nature.com/npjdigipubhealth/
npj Digital Surgery,/npjdigisurg/,https://www.nature.com/npjdigisurg/
npj Drug Discovery,/npjdrugdiscov/,https://www.nature.com/npjdrugdiscov/
npj Emerging Contaminants,/npjemergcontam/,https://www.nature.com/npjemergcontam/
npj Energy Materials,/npjenergymats/,https://www.nature.com/npjenergymats/
npj Entomology,/npjentomology/,https://www.nature.com/npjentomology/
npj Environmental Social Sciences,/npjenvsocsci/,https://www.nature.com/npjenvsocsci/
npj Exercise Medicine and Health,/npjexercisemed/,https://www.nature.com/npjexercisemed/
npj Flexible Electronics,/npjflexelectron/,https://www.nature.com/npjflexelectron/
npj Fungal Science,/npjfungalsci/,https://www.nature.com/npjfungalsci/
npj Genomic Medicine,/npjgenmed/,https://www.nature.com/npjgenmed/
npj Gut and Liver,/npjgutliver/,https://www.nature.com/npjgutliver/
npj Health Systems,/npjhealthsyst/,https://www.nature.com/npjhealthsyst/
npj Heritage Science,/npjheritagesci/,https://www.nature.com/npjheritagesci/
npj Imaging,/npjimaging/,https://www.nature.com/npjimaging/
npj Integrated Electronics,/npjintgrelect/,https://www.nature.com/npjintgrelect/
npj Materials Degradation,/npjmatdeg/,https://www.nature.com/npjmatdeg/
npj Materials Sustainability,/npjmatsustain/,https://www.nature.com/npjmatsustain/
npj Mental Health Research,/npjmentalhealth/,https://www.nature.com/npjmentalhealth/
npj Metabolic Health and Disease,/npjmetabhealth/,https://www.nature.com/npjmetabhealth/
npj Metamaterials,/npjmetamat/,https://www.nature.com/npjmetamat/
npj Microgravity,/npjmgrav/,https://www.nature.com/npjmgrav/
npj Nanophotonics,/npjnanophoton/,https://www.nature.com/npjnanophoton/
npj Natural Hazards,/npjnathazards/,https://www.nature.com/npjnathazards/
npj Ocean Sustainability,/npjoceansustain/,https://www.nature.com/npjoceansustain/
npj Palaeoecosystems,/npjpalaeo/,https://www.nature.com/npjpalaeo/
npj Parkinson's Disease,/npjparkd/,https://www.nature.com/npjparkd/
npj Power Electronics,/npjpowerelect/,https://www.nature.com/npjpowerelect/
npj Precision Oncology,/npjprecisiononcology/,https://www.nature.com/npjprecisiononcology/
npj Primary Care Respiratory Medicine,/npjpcrm/,https://www.nature.com/npjpcrm/
npj Quantum Information,/npjqi/,https://www.nature.com/npjqi/
npj Quantum Materials,/npjquantmats/,https://www.nature.com/npjquantmats/
npj Regenerative Medicine,/npjregenmed/,https://www.nature.com/npjregenmed/
npj Robotics,/npjrobot/,https://www.nature.com/npjrobot/
npj Science of Food,/npjscifood/,https://www.nature.com/npjscifood/
npj Science of Learning,/npjscilearn/,https://www.nature.com/npjscilearn/
npj Science of Plants,/npjsciplants/,https://www.nature.com/npjsciplants/
npj Self-Powered Electronics,/npjselfpowelect/,https://www.nature.com/npjselfpowelect/
npj Soft Matter,/npjsoftmat/,https://www.nature.com/npjsoftmat/
npj Soil Ecology,/npjsoilecol/,https://www.nature.com/npjsoilecol/
npj Space Exploration,/npjspaceexplor/,https://www.nature.com/npjspaceexplor/
npj Spintronics,/npjspintronics/,https://www.nature.com/npjspintronics/
npj Structural Biology,/npjstructbiol/,https://www.nature.com/npjstructbiol/
npj Sustainable Agriculture,/npjsustainagric/,https://www.nature.com/npjsustainagric/
npj Sustainable Mobility and Transport,/npjsustainmobil/,https://www.nature.com/npjsustainmobil/
npj Systems Biology and Applications,/npjsba/,https://www.nature.com/npjsba/
npj Thermal Science and Engineering,/npjthermscieng/,https://www.nature.com/npjthermscieng/
npj Toxicology,/npjtoxicol/,https://www.nature.com/npjtoxicol/
npj Unconventional Computing,/npjunconvcomput/,https://www.nature.com/npjunconvcomput/
npj Urban Sustainability,/npjurbansustain/,https://www.nature.com/npjurbansustain/
npj Vaccines,/npjvaccines/,https://www.nature.com/npjvaccines/
npj Veterinary Sciences,/npjvetsci/,https://www.nature.com/npjvetsci/
npj Viruses,/npjviruses/,https://www.nature.com/npjviruses/
npj Wireless Technology,/npjwireltech/,https://www.nature.com/npjwireltech/
npj Women's Health,/npjwomenshealth/,https://www.nature.com/npjwomenshealth/
NPP—Digital Psychiatry and Neuroscience,/dpn/,https://www.nature.com/dpn/
Nutrition & Diabetes,/nutd/,https://www.nature.com/nutd/
O,#journals-O,https://www.nature.com#journals-O
Oncogene,/onc/,https://www.nature.com/onc/
Oncogenesis,/oncsis/,https://www.nature.com/oncsis/
P,#journals-P,https://www.nature.com#journals-P
Pediatric Research,/pr/,https://www.nature.com/pr/
Polymer Journal,/pj/,https://www.nature.com/pj/
Prostate Cancer and Prostatic Diseases,/pcan/,https://www.nature.com/pcan/
S,#journals-S,https://www.nature.com#journals-S
Schizophrenia,/npjschz/,https://www.nature.com/npjschz/
Scientific American,/scientificamerican/,https://www.nature.com/scientificamerican/
Scientific American Mind,/scientificamericanmind/,https://www.nature.com/scientificamericanmind/
Scientific Data,/sdata/,https://www.nature.com/sdata/
Scientific Reports,https://www.nature.com/srep/,https://www.nature.comhttps://www.nature.com/srep/
Scientific Reports,/srep/,https://www.nature.com/srep/
Signal Transduction and Targeted Therapy,/sigtrans/,https://www.nature.com/sigtrans/
Spinal Cord,/sc/,https://www.nature.com/sc/
Spinal Cord Series and Cases,/scsandc/,https://www.nature.com/scsandc/
T,#journals-T,https://www.nature.com#journals-T
The ISME Journal,/ismej/,https://www.nature.com/ismej/
The Journal of Antibiotics,/ja/,https://www.nature.com/ja/
The Pharmacogenomics Journal,/tpj/,https://www.nature.com/tpj/
Translational Psychiatry,/tp/,https://www.nature.com/tp/
